Wall time,Step,Value
1732988957.8709812,474,-60.305931091308594
1732988970.918103,2486,-60.408626556396484
1732988984.09233,4492,-60.78285598754883
1732988998.6287098,6711,-60.288597106933594
1732989003.451216,7463,-61.27348327636719
1732989015.101853,9260,-61.16727828979492
1732989026.6647658,10966,-61.67969512939453
1732989033.30729,11969,-60.13055419921875
1732989060.104225,16116,-60.93829345703125
1732989085.345494,20062,-61.333473205566406
1732989088.3808022,20539,-61.64237594604492
1732989099.848545,22330,-60.50102996826172
1732989115.071894,24727,-60.13878631591797
1732989118.351627,25253,-61.09876251220703
1732989154.642744,30612,-61.04634094238281
1732989164.3448992,31936,-60.512840270996094
1732989173.43856,33181,-60.81157684326172
1732989194.999454,35953,-61.31378936767578
1732989200.128979,36659,-60.754615783691406
1732989213.562269,37764,-60.306705474853516
1732989222.890341,38840,-62.59248352050781
1732989260.40192,43639,-61.263206481933594
1732989263.016973,43993,-60.47222137451172
1732989264.575395,44200,-60.29486846923828
1732989281.191041,46413,-61.48143005371094
1732989329.592501,52906,-60.43282699584961
1732989355.485688,56521,-60.279388427734375
1732989371.755352,58746,-61.319847106933594
1732989413.1618629,64521,-61.56664276123047
1732989429.328856,66787,-60.58113479614258
1732989431.027043,67021,-60.436885833740234
1732989433.993679,67440,-60.30402374267578
1732989478.0089972,70656,-60.92125701904297
1732989481.601297,71428,-61.16774368286133
1732989489.192945,73009,-61.44434356689453
1732989632.24671,80390,-61.89808654785156
1732989652.399582,84601,-63.293758392333984
1732989654.76365,85089,-61.145606994628906
1732989663.038649,86780,-61.737815856933594
1732989663.452401,86865,-60.91221237182617
1732989666.055001,87393,-60.946022033691406
1732989669.771053,88137,-60.99741744995117
1732989980.3786628,89347,-61.03876495361328
1732989980.458028,89363,-61.90155029296875
1732990001.5441458,93901,-61.261810302734375
1732990013.069581,96301,-60.6096305847168
1732990170.434027,98474,-60.7877082824707
1732990187.713568,101943,-61.13154220581055
1732990193.670023,103001,-61.685794830322266
1732990200.751167,104334,-61.376102447509766
1732990208.4625652,105774,-61.032562255859375
1732990218.964415,107837,-61.40522766113281
1732990222.807852,108586,-61.17841339111328
