Wall time,Step,Value
1732821574.664923,42,-63.37291717529297
1732821575.5483892,167,-61.25925064086914
1732821575.9802759,229,-61.10776901245117
1732821576.0136268,234,-59.475704193115234
1732821577.7105541,474,-60.81722640991211
1732821578.139565,536,-61.095947265625
1732821578.432127,579,-60.45256805419922
1732821578.479903,586,-59.664703369140625
1732821578.810862,634,-61.7764892578125
1732821578.900834,647,-59.80179214477539
1732821579.363339,714,-58.41095733642578
1732821580.013719,808,-62.34156799316406
1732821581.46496,1014,-63.32719421386719
1732821583.700649,1333,-57.76426315307617
1732821584.058235,1385,-60.238250732421875
1732821584.1088488,1392,-61.18096160888672
1732821584.412648,1436,-60.73675537109375
1732821586.1791968,1691,-57.306583404541016
1732821586.484222,1734,-60.71013641357422
1732821586.505662,1737,-58.89140319824219
1732821587.489217,1877,-61.77693176269531
1732821587.761374,1917,-59.8477783203125
1732821588.571805,2036,-60.22645950317383
1732821590.394418,2307,-61.3768310546875
1732821590.962749,2389,-60.09580993652344
1732821591.609047,2485,-62.33470153808594
1732821591.61445,2486,-61.550174713134766
1732821592.9927192,2685,-58.93368911743164
1732821595.3821812,3038,-60.09595489501953
1732821596.6894112,3230,-59.233333587646484
1732821596.796297,3246,-58.80559539794922
1732821597.196866,3305,-57.84681701660156
1732821599.337891,3618,-59.708194732666016
1732821599.354164,3620,-58.90428161621094
1732821599.687395,3670,-59.64154052734375
1732821600.167132,3741,-57.672607421875
1732821600.699838,3821,-58.97354507446289
1732821601.632344,3956,-57.868282318115234
1732821604.127041,4317,-58.83342742919922
1732821604.6904309,4400,-60.39568328857422
1732821605.308605,4492,-60.36204528808594
1732821605.420934,4509,-59.86992263793945
1732821606.55575,4676,-58.166812896728516
1732821607.303924,4788,-59.3507194519043
1732821608.52796,4971,-58.09579849243164
1732821609.731622,5134,-57.50468444824219
1732821611.1557279,5345,-58.90570068359375
1732821611.249931,5359,-57.81549835205078
1732821613.788981,5723,-57.867637634277344
1732821614.8197892,5864,-60.32279968261719
1732821615.173582,5907,-60.47046661376953
1732821615.735136,5990,-61.158302307128906
1732821617.4856918,6200,-60.24385070800781
1732821617.618635,6219,-57.205528259277344
1732821620.305705,6574,-60.93246078491211
1732821621.25858,6699,-59.84931182861328
1732821621.340822,6711,-61.86271286010742
1732821622.335147,6854,-59.831031799316406
1732821623.139332,6966,-58.4320182800293
1732821624.4465458,7155,-59.2899169921875
1732821626.038517,7382,-59.88680648803711
1732821626.5865269,7460,-57.94208908081055
1732821626.605451,7463,-59.09186935424805
1732821626.967233,7511,-59.41570281982422
1732821629.064605,7798,-58.201576232910156
1732821629.304588,7833,-57.17849349975586
