Wall time,Step,Value
1732819660.018954,0,0.0
1732819672.3353522,1,0.0
1732819688.251884,2,0.0
1732819699.3945081,3,0.0
1732819710.784937,4,0.0
1732819723.7201989,5,0.0
1732819738.4851708,6,0.0
1732819752.4167922,7,0.0
1732819767.978893,8,0.0
1732819783.6532748,9,0.0
1732819799.339654,10,0.0
1732819803.112192,11,1.0
1732819818.083159,12,0.0
1732819833.713438,13,0.0
1732819848.663717,14,0.0
1732819862.782163,15,0.0
1732819878.6173692,16,0.0
1732819892.685278,17,0.0
1732819907.615926,18,0.0
1732819924.925065,19,0.0
1732819928.111397,20,1.0
1732819946.5982049,21,0.0
1732819966.437472,22,0.0
1732819993.096077,23,0.0
1732820007.530745,24,0.0
1732820020.983891,25,0.0
1732820035.345182,26,0.0
1732820050.5196302,27,0.0
1732820064.073385,28,0.0
1732820082.69998,29,0.0
1732820097.7916942,30,0.0
1732820112.282656,31,0.0
1732820130.5460968,32,0.0
1732820149.559773,33,0.0
1732820168.740439,34,0.0
1732820185.304245,35,0.0
1732820201.068307,36,0.0
1732820218.615838,37,0.0
1732820234.239996,38,0.0
1732820249.350059,39,0.0
1732820263.434922,40,0.0
1732820277.530331,41,0.0
1732820292.96363,42,0.0
1732820310.255712,43,0.0
1732820326.082564,44,0.0
1732820340.884199,45,0.0
1732820355.395908,46,0.0
1732820369.946511,47,0.0
1732820385.927406,48,0.0
1732820400.7825449,49,0.0
1732820415.22491,50,0.0
1732820429.47229,51,0.0
1732820443.693938,52,0.0
1732820458.668324,53,1.0
1732820473.745939,54,0.0
1732820488.9151402,55,0.0
1732820502.410034,56,0.0
1732820515.851386,57,0.0
1732820529.396756,58,0.0
1732820543.738208,59,0.0
1732820557.208149,60,0.0
1732820573.019116,61,0.0
1732820574.025267,62,1.0
1732820588.006418,63,0.0
1732820602.14742,64,0.0
1732820603.2132108,65,1.0
1732820607.95555,66,1.0
1732820622.617773,67,0.0
1732820637.525438,68,0.0
1732820651.2436538,69,0.0
1732820665.552129,70,0.0
1732820678.328608,71,1.0
1732820683.5569239,72,1.0
1732820688.0237749,73,1.0
1732820702.7743628,74,0.0
1732820703.742568,75,1.0
1732820718.08574,76,0.0
1732820734.778034,77,0.0
1732820736.051614,78,1.0
1732820737.211405,79,1.0
1732820752.087682,80,0.0
1732820766.766676,81,0.0
1732820782.207137,82,0.0
1732820784.311299,83,1.0
1732820793.1085272,84,1.0
1732820808.241027,85,0.0
1732820821.8999429,86,0.0
1732820835.782857,87,0.0
1732820849.436298,88,0.0
1732820850.9745212,89,1.0
1732820858.5747268,90,1.0
1732820871.85886,91,0.0
1732820885.387958,92,0.0
1732820899.4461079,93,0.0
1732820900.509464,94,1.0
1732820903.396959,95,1.0
1732820917.1529899,96,0.0
1732820931.385799,97,0.0
1732820948.174301,98,0.0
1732820949.697372,99,1.0
1732820964.278172,100,0.0
1732820979.541037,101,0.0
1732820993.812858,102,0.0
1732821008.384546,103,0.0
1732821022.414104,104,0.0
1732821038.7774458,105,0.0
1732821057.803204,106,0.0
1732821079.135051,107,0.0
1732821085.96208,108,1.0
1732821093.6687932,109,1.0
1732821108.564493,110,0.0
1732821125.1473331,111,0.0
1732821126.418666,112,1.0
1732821142.508607,113,0.0
1732821159.5230541,114,0.0
1732821174.074103,115,0.0
1732821188.8754911,116,0.0
1732821203.139782,117,0.0
1732821217.091933,118,0.0
1732821231.789291,119,0.0
1732821246.2261171,120,0.0
1732821260.012171,121,0.0
1732821274.309431,122,0.0
1732821288.705705,123,0.0
1732821302.19607,124,0.0
1732821306.0271308,125,1.0
1732821320.0855591,126,0.0
1732821324.66237,127,1.0
1732821330.159981,128,1.0
1732821344.006399,129,0.0
1732821345.516757,130,1.0
1732821349.9990468,131,1.0
1732821366.0418508,132,0.0
1732821367.6126668,133,1.0
1732821382.322304,134,0.0
1732821399.0707579,135,0.0
1732821413.684651,136,0.0
1732821428.10906,137,0.0
1732821442.1455731,138,0.0
1732821456.375521,139,0.0
1732821470.850471,140,0.0
1732821472.419522,141,1.0
1732821486.661737,142,0.0
1732821488.0979168,143,1.0
1732821503.216058,144,0.0
1732821517.442743,145,0.0
1732821531.4344552,146,0.0
1732821545.80218,147,0.0
1732821560.109544,148,0.0
1732821574.368991,149,0.0
