Wall time,Step,Value
1732841240.621946,42,-1.5528147220611572
1732841240.643716,45,-1.4804222583770752
1732841240.815275,71,-1.6398305892944336
1732841240.988117,94,-1.7524223327636719
1732841241.4399118,158,-2.105928421020508
1732841241.5030231,167,-2.256377696990967
1732841242.0036092,229,-2.243401527404785
1732841242.0351648,234,-2.0144898891448975
1732841242.158195,255,-2.762486457824707
1732841242.2614741,273,-3.072610378265381
1732841242.4377658,308,-2.3302972316741943
1732841242.446115,310,-2.503286123275757
1732841242.484628,318,-2.8476626873016357
1732841242.961441,421,-3.8401873111724854
1732841243.1479611,460,-3.7128183841705322
1732841243.2175958,474,-3.9619805812835693
1732841243.565145,536,-4.21550178527832
1732841243.701986,563,-4.2423095703125
1732841243.783571,579,-4.3625311851501465
1732841243.81889,586,-4.610326290130615
1732841244.062645,634,-4.943488121032715
1732841244.122823,647,-4.699371337890625
1732841244.235871,671,-5.291862964630127
1732841244.451165,714,-5.876797676086426
1732841244.488777,722,-5.604007720947266
1732841244.722819,771,-5.620077610015869
1732841244.791123,785,-6.351743221282959
1732841244.8702168,802,-5.73271369934082
1732841244.899338,808,-5.90319299697876
1732841245.03313,836,-7.0028252601623535
1732841245.603921,945,-7.3417582511901855
1732841245.7259688,971,-7.614292621612549
1732841245.921957,1014,-8.290635108947754
1732841246.156415,1066,-8.455879211425781
1732841246.330771,1104,-8.356424331665039
1732841246.686155,1180,-10.403615951538086
1732841247.0507362,1261,-10.581169128417969
1732841247.302124,1316,-12.105676651000977
1732841247.315049,1319,-9.898147583007812
1732841247.3811169,1333,-11.314308166503906
1732841247.399123,1337,-11.198250770568848
1732841247.615956,1385,-11.435338020324707
1732841247.647948,1392,-11.66893482208252
1732841247.848397,1436,-11.054535865783691
1732841247.982852,1466,-12.132245063781738
1732841248.249316,1523,-12.436702728271484
1732841248.381587,1552,-12.719071388244629
1732841248.455072,1568,-14.525017738342285
1732841248.527169,1584,-12.83785343170166
1732841248.784736,1640,-13.412511825561523
1732841249.019242,1691,-13.697525978088379
1732841249.104856,1709,-14.673169136047363
1732841249.145813,1718,-15.587230682373047
1732841249.211906,1732,-16.555442810058594
1732841249.219934,1734,-14.695759773254395
1732841249.234252,1737,-15.704898834228516
1732841249.438574,1781,-14.392155647277832
1732841249.7358909,1844,-17.963775634765625
1732841249.778253,1853,-16.938003540039062
1732841249.8399749,1866,-15.951047897338867
1732841249.85409,1869,-16.834436416625977
1732841249.891754,1877,-16.408485412597656
1732841250.074142,1917,-16.05915069580078
1732841250.151063,1934,-18.838109970092773
1732841250.209885,1947,-15.073333740234375
1732841250.459011,2001,-17.755165100097656
1732841250.620971,2036,-18.473236083984375
1732841250.924591,2096,-19.441165924072266
1732841251.350441,2187,-19.454439163208008
1732841251.406821,2199,-21.855649948120117
1732841251.565463,2231,-18.15291404724121
1732841251.597816,2237,-21.387035369873047
1732841251.6942358,2257,-20.0231876373291
1732841251.717388,2262,-19.24995994567871
1732841251.927957,2307,-22.97003936767578
1732841251.984684,2319,-22.12208366394043
1732841252.150388,2354,-24.263896942138672
1732841252.313605,2389,-22.345081329345703
1732841252.3175309,2390,-22.14722442626953
1732841252.532038,2436,-24.34866714477539
1732841252.609914,2453,-22.71253204345703
1732841252.618104,2455,-21.759044647216797
1732841252.643617,2460,-21.671140670776367
1732841252.758666,2485,-26.005001068115234
1732841252.7625449,2486,-25.376300811767578
1732841252.8183172,2498,-23.835336685180664
1732841252.840992,2503,-22.80168914794922
1732841252.9771461,2532,-21.327800750732422
1732841253.0448442,2547,-25.893054962158203
1732841253.074236,2553,-23.436281204223633
1732841253.6952991,2685,-25.387964248657227
1732841253.950235,2740,-26.16548728942871
1732841254.1809762,2789,-25.482261657714844
1732841254.687268,2896,-28.91374397277832
1732841255.0199392,2967,-28.687376022338867
1732841255.2275991,3011,-26.68194580078125
1732841255.352979,3038,-29.292415618896484
1732841255.367904,3041,-28.697118759155273
1732841255.639711,3099,-29.639568328857422
1732841255.9438112,3161,-30.79882049560547
1732841256.108277,3196,-30.917648315429688
1732841256.265304,3230,-30.354557037353516
1732841256.331657,3244,-29.801279067993164
1732841256.339893,3246,-30.30124282836914
1732841256.343827,3247,-30.083772659301758
1732841256.61476,3305,-28.821922302246094
1732841257.451998,3480,-37.43110656738281
1732841258.058295,3600,-34.00395202636719
1732841258.143135,3618,-34.50822448730469
1732841258.1535969,3620,-35.469947814941406
1732841258.395047,3670,-35.43510818481445
1732841258.666164,3726,-34.8364143371582
1732841258.740032,3741,-33.69427490234375
1732841258.983875,3793,-39.72771453857422
1732841259.082586,3814,-32.51171112060547
1732841259.1159601,3821,-34.55958557128906
1732841259.614642,3928,-39.12636947631836
1732841259.744843,3956,-38.517276763916016
1732841259.87736,3984,-39.8189582824707
1732841260.128309,4036,-40.80503463745117
1732841260.430497,4098,-38.249507904052734
1732841260.8895638,4196,-37.781410217285156
1732841260.91612,4202,-40.452659606933594
1732841261.04447,4227,-41.228546142578125
1732841261.0694022,4232,-38.482322692871094
1732841261.405737,4304,-38.31447982788086
1732841261.4649448,4317,-37.63641357421875
1732841261.473236,4319,-41.71824264526367
1732841261.8760462,4400,-42.5504150390625
1732841262.3088481,4492,-41.757713317871094
1732841262.391119,4509,-43.853660583496094
1732841262.499638,4530,-43.03365707397461
1732841262.982535,4628,-39.60188293457031
1732841263.1543639,4664,-44.61553955078125
1732841263.173362,4668,-41.029911041259766
1732841263.211979,4676,-47.19922637939453
1732841263.5671182,4750,-44.2000846862793
1732841263.749981,4788,-46.827640533447266
1732841263.81451,4802,-44.936500549316406
1732841263.992544,4840,-48.34944534301758
1732841264.04877,4852,-46.56743240356445
1732841264.241347,4894,-50.65305709838867
1732841264.5575712,4962,-49.61640930175781
1732841264.5987232,4971,-46.26633834838867
1732841264.613361,4974,-48.27561569213867
1732841264.967762,5050,-51.43402099609375
1732841264.978239,5052,-45.30682373046875
1732841265.2268999,5106,-46.8285026550293
1732841265.355045,5134,-47.64756393432617
1732841265.839443,5239,-51.732391357421875
1732841266.271483,5329,-50.38956832885742
1732841266.344943,5345,-50.58725357055664
1732841266.408675,5359,-51.597389221191406
1732841266.69217,5420,-54.118324279785156
1732841267.152211,5517,-51.44407272338867
1732841267.299093,5549,-56.131866455078125
1732841267.828647,5664,-57.2353630065918
1732841267.895991,5679,-55.23279571533203
1732841268.098182,5723,-54.33910369873047
1732841268.489804,5808,-56.13021469116211
1732841268.566897,5825,-53.910499572753906
1732841268.581193,5828,-53.82701873779297
1732841268.747375,5864,-56.32322692871094
1732841268.778835,5871,-56.70023727416992
1732841268.947171,5907,-51.46038055419922
1732841269.047499,5928,-57.01099395751953
1732841269.334732,5990,-51.35692596435547
1732841269.4280052,6010,-52.4106330871582
1732841269.952615,6121,-57.42877960205078
1732841269.99772,6131,-57.38525390625
1732841270.229989,6181,-56.613101959228516
1732841270.3188522,6200,-55.64991760253906
1732841270.377816,6213,-58.527427673339844
1732841270.404303,6219,-60.23616409301758
1732841270.467903,6232,-55.11136245727539
1732841270.731605,6289,-55.42096710205078
1732841270.8375309,6312,-59.38727951049805
1732841270.859853,6317,-55.16300964355469
1732841271.131775,6376,-58.79487991333008
1732841271.255449,6400,-59.64330291748047
1732841271.7037282,6496,-60.450164794921875
1732841271.814005,6520,-57.27930450439453
1732841272.069498,6574,-57.23153305053711
1732841272.208732,6603,-60.22307205200195
1732841272.459538,6657,-63.120670318603516
1732841272.6396759,6696,-59.7147216796875
1732841272.651872,6699,-64.01522827148438
1732841272.707354,6711,-63.049190521240234
1732841272.852104,6742,-58.89482879638672
1732841273.341193,6846,-60.21034240722656
1732841273.377939,6854,-59.93788528442383
1732841273.4477599,6869,-60.7818603515625
1732841273.8939142,6966,-59.9720573425293
1732841274.015154,6992,-62.23719787597656
1732841274.1156611,7014,-58.71457290649414
1732841274.541724,7106,-66.25035095214844
1732841274.578826,7114,-63.69036102294922
1732841274.768237,7155,-63.17391586303711
1732841275.052692,7216,-61.43535614013672
1732841275.194658,7247,-60.90486145019531
1732841275.4909499,7311,-64.01771545410156
1732841275.6214662,7339,-62.72575759887695
1732841275.6275651,7340,-65.40702056884766
1732841275.713852,7359,-63.186119079589844
1732841275.8206239,7382,-66.86629486083984
1732841275.909973,7401,-65.8772964477539
1732841276.1355,7450,-62.678428649902344
1732841276.1826408,7460,-65.39544677734375
1732841276.194785,7463,-61.25306701660156
1732841276.263884,7478,-62.67707061767578
1732841276.4295402,7511,-66.39106750488281
1732841277.0508249,7644,-65.42684936523438
1732841277.264215,7687,-66.33522033691406
1732841277.293566,7693,-64.70857238769531
1732841277.603586,7760,-63.199745178222656
1732841277.732631,7788,-64.90733337402344
1732841277.777796,7798,-65.14161682128906
1732841277.940984,7833,-67.1439208984375
1732841278.2538712,7900,-67.33145141601562
1732841278.405252,7932,-67.18548583984375
1732841278.6795368,7991,-66.64045715332031
1732841278.843164,8026,-62.574562072753906
1732841278.9514089,8049,-68.14704895019531
1732841279.029981,8066,-68.76107788085938
1732841279.572497,8180,-68.96392822265625
1732841279.7331378,8215,-65.01307678222656
1732841279.761936,8221,-69.91712951660156
1732841280.0833018,8290,-67.72697448730469
1732841280.287563,8334,-67.62770080566406
1732841280.422341,8363,-69.448974609375
1732841280.447011,8368,-70.6502685546875
1732841280.488426,8377,-68.59612274169922
1732841280.906585,8467,-69.12147521972656
1732841280.921,8470,-68.08634948730469
1732841281.050539,8498,-69.74788665771484
1732841281.09853,8508,-70.55815124511719
1732841281.369735,8566,-67.44072723388672
1732841281.546437,8601,-70.22567749023438
1732841281.702237,8634,-70.9985580444336
1732841281.706253,8635,-70.90301513671875
1732841281.987207,8695,-72.6797103881836
1732841282.577616,8819,-67.51898193359375
1732841282.5922701,8822,-73.38728332519531
1732841282.851969,8878,-70.2337646484375
1732841282.97447,8904,-70.86050415039062
1732841282.9867158,8907,-74.49459075927734
1732841283.085739,8928,-70.68142700195312
1732841283.116535,8935,-73.54048156738281
1732841283.390624,8993,-77.56140899658203
1732841283.4178371,8999,-73.84251403808594
1732841283.6795928,9055,-72.04088592529297
1732841283.716937,9063,-72.12252807617188
1732841284.479881,9226,-75.012451171875
1732841284.513036,9233,-73.74412536621094
1732841284.64032,9260,-75.71763610839844
1732841284.902147,9316,-72.74560546875
1732841285.052448,9348,-72.39478302001953
1732841285.350691,9412,-69.69817352294922
1732841285.362986,9415,-73.77320098876953
1732841285.457401,9435,-77.59017181396484
1732841285.612654,9468,-77.45806884765625
1732841285.981768,9547,-75.2982406616211
1732841286.015164,9554,-73.32209777832031
1732841286.075798,9567,-72.94515228271484
1732841286.180694,9589,-74.68038940429688
1732841286.3590841,9627,-72.17274475097656
1732841286.503034,9657,-74.80743408203125
1732841286.617339,9680,-76.99244689941406
1732841286.712878,9698,-74.24673461914062
1732841287.0483751,9768,-74.54329681396484
1732841287.4024608,9843,-73.81686401367188
1732841287.7234318,9907,-77.5786361694336
1732841288.0325918,9972,-73.8629379272461
1732841288.3975098,10050,-77.74901580810547
1732841288.422015,10055,-77.5384521484375
1732841288.437608,10058,-75.09294891357422
1732841288.591886,10084,-76.50126647949219
1732841288.991392,10168,-74.13617706298828
1732841289.4069161,10256,-77.3800048828125
1732841289.502511,10276,-76.75720977783203
1732841289.5337,10283,-75.6400375366211
1732841290.070614,10396,-76.75743103027344
1732841290.08307,10399,-76.51952362060547
1732841290.183808,10420,-76.6436538696289
1732841290.4629078,10479,-75.45216369628906
1732841290.5115352,10489,-78.25511169433594
1732841290.5304792,10493,-79.32972717285156
1732841290.6680698,10522,-76.38434600830078
1732841290.8240151,10555,-76.42347717285156
1732841291.0705988,10607,-75.16935729980469
1732841291.153236,10624,-76.68181610107422
1732841291.218546,10638,-76.49320220947266
1732841291.295382,10654,-78.21620178222656
1732841291.3761652,10671,-76.54048919677734
1732841291.567395,10711,-80.21075439453125
1732841291.794972,10757,-76.91065979003906
1732841291.799594,10758,-78.48933410644531
1732841291.910768,10780,-79.29440307617188
1732841292.078121,10815,-79.18104553222656
1732841292.1270652,10825,-80.73027038574219
1732841292.203768,10841,-79.8671646118164
1732841292.246424,10850,-77.89330291748047
1732841292.315657,10864,-80.28321075439453
1732841292.495067,10902,-81.04839324951172
1732841292.510087,10905,-79.08914184570312
1732841292.685421,10939,-80.40440368652344
1732841292.70436,10943,-78.31055450439453
1732841292.816522,10966,-76.69625854492188
1732841292.846817,10972,-80.62088775634766
1732841292.8547149,10974,-78.00459289550781
1732841293.046964,11014,-79.69110107421875
1732841293.076284,11020,-78.16211700439453
1732841293.137322,11033,-81.00306701660156
1732841293.1605818,11038,-79.1615982055664
1732841293.4675782,11102,-78.01861572265625
1732841293.559658,11121,-79.20785522460938
1732841293.602292,11130,-80.63941192626953
1732841293.817728,11175,-80.24496459960938
1732841293.928912,11198,-79.61625671386719
1732841293.9396951,11200,-79.56310272216797
1732841293.944018,11201,-81.09005737304688
1732841294.224879,11260,-79.32284545898438
1732841294.983211,11419,-79.93501281738281
1732841295.235451,11472,-82.59506225585938
1732841295.330355,11492,-80.670654296875
1732841295.476359,11523,-79.51874542236328
1732841295.520601,11532,-80.17552185058594
1732841295.601072,11549,-81.19429016113281
1732841295.681153,11566,-79.57921600341797
1732841295.829094,11597,-81.39285278320312
1732841296.075381,11648,-80.96710205078125
1732841296.184789,11671,-81.65083312988281
1732841296.253108,11685,-80.27666473388672
1732841296.604853,11759,-81.6252670288086
1732841297.1763442,11873,-81.65547180175781
1732841297.6293929,11969,-79.43128967285156
1732841297.65221,11974,-81.78054809570312
1732841297.83636,12010,-80.09294128417969
1732841297.982861,12041,-82.95886993408203
1732841298.450973,12138,-81.67728424072266
1732841298.57694,12164,-82.75623321533203
1732841298.5960371,12168,-81.72948455810547
1732841298.6725,12184,-78.86227416992188
1732841298.8718238,12226,-80.41171264648438
1732841299.174377,12290,-81.53807067871094
1732841299.189384,12293,-82.606689453125
1732841299.265321,12309,-81.94005584716797
1732841299.725822,12405,-81.5353775024414
1732841299.978359,12458,-82.2156982421875
1732841300.4342,12553,-84.1946792602539
1732841300.996552,12671,-81.7956771850586
1732841301.1305048,12699,-82.09493255615234
1732841301.412976,12758,-82.43553161621094
1732841301.489907,12774,-82.28083801269531
1732841301.636527,12805,-82.30553436279297
1732841301.9755,12877,-82.39212036132812
1732841302.07368,12896,-81.09901428222656
1732841302.278195,12939,-83.6385726928711
1732841302.373234,12959,-81.82209777832031
1732841302.648101,13017,-82.2856216430664
1732841302.727585,13034,-82.81993865966797
1732841302.8657222,13061,-81.89707946777344
1732841302.970308,13082,-84.0800552368164
1732841303.026454,13094,-82.46597290039062
1732841303.098017,13109,-82.75713348388672
1732841303.1166751,13113,-82.87367248535156
1732841303.196058,13130,-84.0890884399414
1732841303.3654132,13166,-83.38066864013672
1732841303.553021,13206,-84.18771362304688
1732841303.7083678,13239,-83.5446548461914
1732841304.226409,13349,-83.88430786132812
1732841304.475063,13402,-84.09317016601562
1732841304.493839,13406,-84.121826171875
1732841304.5872269,13426,-84.15909576416016
1732841304.817336,13475,-84.70638275146484
1732841304.956021,13504,-83.83978271484375
1732841305.1530292,13546,-84.99630737304688
1732841305.3939378,13597,-82.89189910888672
1732841305.502814,13620,-85.04850769042969
1732841305.779297,13679,-84.04409790039062
1732841305.793827,13682,-84.08770751953125
1732841306.100563,13747,-82.0408935546875
1732841306.239755,13776,-84.02168273925781
1732841306.398983,13810,-83.833251953125
1732841306.563649,13845,-83.5335464477539
1732841306.67402,13868,-82.37191009521484
1732841306.750143,13884,-84.72454071044922
1732841307.096569,13957,-84.96700286865234
1732841307.1987572,13976,-84.017578125
1732841307.307563,13998,-84.81644439697266
1732841307.705534,14080,-84.94342041015625
1732841308.383512,14221,-83.78131103515625
1732841308.693762,14287,-84.30897521972656
1732841308.727243,14294,-83.94097900390625
1732841308.769238,14303,-84.88436126708984
1732841308.850019,14320,-83.82291412353516
1732841308.9067001,14332,-84.40887451171875
1732841308.933592,14338,-84.86305236816406
1732841309.2118368,14397,-84.76612091064453
1732841309.446713,14447,-83.54025268554688
1732841309.668017,14494,-84.76223754882812
1732841309.838704,14530,-83.28408813476562
1732841309.955654,14554,-84.23480987548828
1732841309.970387,14557,-86.40310668945312
1732841310.32481,14632,-85.67859649658203
1732841310.351996,14638,-84.39791870117188
1732841310.4951198,14668,-85.30424499511719
1732841310.536932,14677,-85.61210632324219
1732841310.555666,14681,-85.20872497558594
1732841310.582921,14687,-84.200927734375
1732841311.022506,14779,-85.09504699707031
1732841311.028817,14780,-85.44791412353516
1732841311.066726,14788,-84.810302734375
1732841311.085688,14792,-84.14694213867188
1732841311.165422,14809,-86.39924621582031
1732841311.470695,14873,-86.56376647949219
1732841311.563772,14892,-87.52672576904297
1732841311.729326,14926,-85.51321411132812
1732841312.227067,15027,-84.69874572753906
1732841312.558401,15090,-86.24032592773438
1732841312.789848,15136,-85.90900421142578
1732841313.010159,15180,-86.15050506591797
1732841313.112876,15199,-86.82215118408203
1732841313.4637508,15266,-86.1175537109375
1732841313.757233,15324,-87.73211669921875
1732841313.87107,15347,-85.7723388671875
1732841314.279857,15428,-86.87596130371094
1732841314.505496,15473,-85.58065032958984
1732841314.514174,15475,-86.50894927978516
1732841314.67505,15507,-85.11869049072266
1732841314.830379,15538,-85.8697738647461
1732841315.1213381,15597,-86.48810577392578
1732841315.822269,15740,-86.14397430419922
1732841315.940167,15764,-86.05189514160156
1732841315.983448,15773,-85.35476684570312
1732841316.0114381,15779,-86.17671203613281
1732841316.236653,15825,-85.84271240234375
1732841316.252102,15828,-85.965576171875
1732841316.3437629,15847,-86.67130279541016
1732841316.991123,15979,-87.30753326416016
