Wall time,Step,Value
1732841432.053751,0,0.0
1732841442.2019992,1,0.0
1732841443.506579,2,1.0
1732841453.808599,3,0.0
1732841457.473738,4,1.0
1732841467.691915,5,0.0
1732841477.803392,6,0.0
1732841488.038553,7,0.0
1732841498.4228039,8,0.0
1732841499.358057,9,1.0
1732841500.113745,10,1.0
1732841500.766911,11,1.0
1732841501.4340029,12,1.0
1732841506.283256,13,1.0
1732841507.465537,14,1.0
1732841513.44275,15,1.0
1732841515.83349,16,1.0
1732841526.182434,17,0.0
1732841528.7879128,18,1.0
1732841530.875597,19,1.0
1732841531.548179,20,1.0
1732841533.191636,21,1.0
1732841535.301353,22,1.0
1732841536.091132,23,1.0
1732841538.45578,24,1.0
1732841539.030663,25,1.0
1732841540.309254,26,1.0
1732841542.188681,27,1.0
1732841544.3873768,28,1.0
1732841546.240654,29,1.0
1732841547.113479,30,1.0
1732841547.9687219,31,1.0
1732841549.690377,32,1.0
1732841560.277667,33,0.0
1732841561.354999,34,1.0
1732841562.0822341,35,1.0
1732841564.396271,36,1.0
1732841575.215402,37,0.0
1732841576.09555,38,1.0
1732841577.915566,39,1.0
1732841578.695452,40,1.0
1732841579.767046,41,1.0
1732841580.607108,42,1.0
1732841581.337449,43,1.0
1732841582.426155,44,1.0
1732841583.8146958,45,1.0
1732841584.719002,46,1.0
1732841585.9721549,47,1.0
1732841587.781336,48,1.0
1732841589.199888,49,1.0
1732841590.126003,50,1.0
1732841590.845665,51,1.0
1732841601.2227871,52,0.0
1732841602.056021,53,1.0
1732841612.671853,54,0.0
1732841613.669461,55,1.0
1732841614.479881,56,1.0
1732841615.4324312,57,1.0
1732841616.18314,58,1.0
1732841621.5654159,59,1.0
1732841632.545815,60,0.0
1732841638.11844,61,1.0
1732841643.924644,62,1.0
1732841644.800052,63,1.0
1732841645.716872,64,1.0
1732841646.6298969,65,1.0
1732841647.4788191,66,1.0
1732841648.053972,67,1.0
1732841648.6060421,68,1.0
1732841649.260082,69,1.0
1732841652.3093581,70,1.0
1732841652.9968,71,1.0
1732841663.7594602,72,0.0
1732841664.347372,73,1.0
1732841668.478841,74,1.0
1732841669.1019158,75,1.0
1732841671.046943,76,1.0
1732841671.832793,77,1.0
1732841672.483882,78,1.0
1732841673.26223,79,1.0
1732841675.307347,80,1.0
1732841675.936013,81,1.0
1732841676.558183,82,1.0
1732841677.307721,83,1.0
1732841678.007521,84,1.0
1732841688.7390249,85,0.0
1732841689.3893409,86,1.0
1732841700.333365,87,0.0
1732841701.382999,88,1.0
1732841702.040545,89,1.0
1732841702.666996,90,1.0
1732841703.4437299,91,1.0
1732841704.256926,92,1.0
1732841704.8553898,93,1.0
1732841705.6336691,94,1.0
1732841706.265625,95,1.0
1732841706.9497988,96,1.0
1732841707.622776,97,1.0
1732841708.3787851,98,1.0
1732841709.058671,99,1.0
1732841709.8644328,100,1.0
1732841710.532945,101,1.0
1732841711.195644,102,1.0
1732841711.7571242,103,1.0
1732841712.3904982,104,1.0
1732841713.0621881,105,1.0
