Wall time,Step,Value
1732830151.4112709,167,-58.53724670410156
1732830153.331031,474,-58.97472381591797
1732830153.744514,536,-57.08667755126953
1732830154.068555,586,-59.08892822265625
1732830154.502901,647,-57.89374542236328
1732830159.9979541,1436,-60.905879974365234
1732830162.003583,1737,-59.841514587402344
1732830165.721185,2307,-57.170379638671875
1732830166.249119,2389,-60.62723922729492
1732830166.8720582,2486,-58.4594841003418
1732830172.235112,3246,-60.236541748046875
1732830180.827091,4492,-57.53206253051758
1732830185.305728,5134,-58.01285934448242
1732830191.813396,5907,-59.210304260253906
1732830197.5967062,6699,-56.676292419433594
1732830197.6974359,6711,-56.22249221801758
1732830199.520258,6966,-58.32691955566406
1732830203.0401878,7463,-55.05242919921875
1732830206.027746,7798,-59.08155059814453
1732830206.34952,7833,-58.70223617553711
1732830209.521472,8180,-60.647621154785156
1732830209.796581,8221,-55.630218505859375
1732830211.643664,8498,-56.624298095703125
1732830216.614143,9260,-56.296180725097656
1732830217.99012,9468,-57.3506965637207
1732830224.217054,10399,-58.182273864746094
1732830227.563367,10905,-55.784515380859375
1732830227.9471412,10966,-56.10669708251953
1732830231.52099,11532,-56.75248718261719
1732830234.321439,11969,-56.612030029296875
1732830240.115597,12877,-56.98686599731445
1732830241.1179142,13034,-57.72539520263672
1732830249.0920599,14294,-55.900367736816406
1732830251.4018419,14668,-56.529457092285156
1732830252.079648,14779,-55.68828582763672
1732830260.132819,16116,-55.34054183959961
1732830264.65108,16857,-56.387939453125
1732830267.491795,17317,-55.28171920776367
1732830268.88549,17543,-56.319252014160156
1732830280.927833,19531,-56.22077178955078
1732830281.572682,19640,-56.983848571777344
1732830282.107142,19731,-57.798458099365234
1732830284.063895,20062,-58.520511627197266
1732830286.993031,20539,-56.41337585449219
1732830287.2324429,20578,-55.241153717041016
1732830289.353343,20855,-57.478553771972656
1732830290.796573,21080,-55.266170501708984
1732830291.2935429,21144,-57.439353942871094
1732830292.361024,21319,-56.750850677490234
1732830298.483432,22330,-56.48898696899414
1732830298.65116,22358,-57.221370697021484
1732830304.2574341,23286,-57.60904312133789
1732830304.715549,23361,-56.76790237426758
1732830305.1099882,23427,-55.565216064453125
1732830306.685616,23670,-56.800872802734375
1732830306.87534,23701,-56.91765594482422
1732830309.566557,24147,-55.49708557128906
1732830310.648345,24322,-57.317283630371094
1732830313.207664,24727,-56.29373550415039
1732830314.4778728,24934,-56.69227981567383
1732830316.422231,25253,-57.858619689941406
1732830327.1034381,26797,-56.38437271118164
1732830340.2858949,28970,-59.37328338623047
1732830340.569461,28996,-57.64459991455078
1732830346.172479,29829,-56.320526123046875
1732830347.25723,30005,-54.86269760131836
1732830350.1319659,30470,-55.902523040771484
1732830350.9993339,30612,-57.559242248535156
1732830351.6035688,30706,-55.44347381591797
1732830356.0135622,31406,-55.301841735839844
1732830356.2358458,31443,-57.99054718017578
1732830359.1877959,31936,-57.9743537902832
1732830362.195691,32435,-56.13711929321289
1732830364.929664,32894,-56.564056396484375
1732830364.977191,32902,-58.116031646728516
1732830366.660415,33181,-58.19525909423828
1732830369.964343,33737,-55.411903381347656
1732830370.0358138,33749,-55.634342193603516
1732830370.2497349,33785,-57.08000946044922
1732830370.569054,33839,-56.58633804321289
1732830370.810977,33876,-58.056880950927734
1732830371.036454,33913,-57.33890914916992
1732830373.726072,34362,-56.5611572265625
1732830374.690637,34525,-58.96333694458008
1732830375.1297228,34599,-57.113319396972656
1732830380.401867,35483,-60.87057876586914
1732830383.2228968,35953,-55.60551071166992
1732830383.724015,36037,-56.01815414428711
1732830387.414067,36629,-57.66581344604492
1732830387.6056252,36659,-57.746559143066406
1732830388.753945,36850,-55.764076232910156
1732830390.897871,37202,-60.64151382446289
1732830392.655448,37489,-56.663597106933594
