Wall time,Step,Value
1733337728.9578502,167,-4.60192346572876
1733337730.413208,474,-8.148940086364746
1733337730.714245,536,-9.846059799194336
1733337730.956091,586,-10.178970336914062
1733337739.7687528,2307,-56.12760925292969
1733337740.902555,2486,-59.16410827636719
1733337751.614843,4492,-74.2011489868164
1733337754.88095,5134,-82.05562591552734
1733337764.405577,6711,-84.66146850585938
1733337768.905666,7463,-84.79827880859375
1733337779.164245,9260,-84.94872283935547
1733337780.35526,9468,-84.81970977783203
1733337785.5180538,10399,-85.54762268066406
1733337788.311201,10905,-86.64411926269531
1733337788.669203,10966,-86.22726440429688
1733337794.472936,11969,-86.56034851074219
1733337807.570045,14294,-87.98434448242188
1733337810.36951,14779,-87.92456817626953
1733337818.0600908,16116,-88.00601959228516
1733337838.140502,19640,-91.83317565917969
1733337840.590956,20062,-92.36627197265625
1733337843.354122,20539,-91.3987808227539
1733337843.580736,20578,-92.07594299316406
1733337845.160645,20855,-93.24214935302734
1733337848.147639,21319,-92.29918670654297
1733337854.3521721,22330,-93.63407135009766
1733337860.153245,23361,-94.93103790283203
1733337861.961495,23701,-95.47733306884766
1733337864.323292,24147,-97.01235961914062
1733337865.302984,24322,-96.91128540039062
1733337867.556812,24727,-96.9647445678711
1733337870.515834,25253,-97.11347198486328
1733337893.608053,28996,-105.66154479980469
1733337898.953075,29829,-105.19515228271484
1733337903.809574,30612,-106.19710540771484
1733337904.3713331,30706,-104.44525909423828
1733337908.833091,31443,-107.89768981933594
1733337912.079556,31936,-107.41310119628906
1733337914.866653,32435,-108.09310150146484
1733337919.075522,33181,-110.27101135253906
1733337922.9246788,33749,-111.61809539794922
1733337923.273217,33785,-109.81206512451172
1733337923.683391,33839,-111.22701263427734
1733337927.325877,34525,-111.95675659179688
1733337934.9392278,35953,-116.86233520507812
1733337938.4959738,36629,-116.90168762207031
1733337938.650683,36659,-115.87615203857422
1733337944.463084,37764,-121.18637084960938
1733337945.051483,37876,-119.31903839111328
1733337949.7023208,38720,-126.40699005126953
1733337950.468467,38840,-126.52046203613281
1733337955.359655,39702,-127.01800537109375
1733337963.7961211,41271,-134.04910278320312
1733337976.519669,43639,-147.44052124023438
