Wall time,Step,Value
1733348341.471244,167,-3.735823631286621
1733348343.1379561,474,-7.440515518188477
1733348343.471827,536,-9.373223304748535
1733348343.7364218,586,-9.715910911560059
1733348348.4268649,1436,-28.787918090820312
1733348353.9923358,2307,-51.176231384277344
1733348354.54546,2389,-47.888343811035156
1733348355.127288,2486,-50.83601379394531
1733348368.813372,4492,-75.222412109375
1733348372.5154848,5134,-78.95874786376953
1733348381.957265,6711,-85.61742401123047
1733348387.7624562,7463,-85.09149932861328
1733348402.061331,9260,-85.93135833740234
1733348403.307457,9468,-85.84129333496094
1733348408.8255801,10399,-86.48912811279297
1733348411.845972,10905,-85.28433227539062
1733348412.199567,10966,-86.01084899902344
1733348418.190969,11969,-85.30282592773438
1733348431.968878,14294,-85.08148193359375
1733348434.148928,14668,-85.50605773925781
1733348434.7891579,14779,-85.08000946044922
1733348442.8189828,16116,-84.62255096435547
1733348452.5091178,17543,-82.95454406738281
1733348466.111386,19640,-83.18206787109375
1733348468.584073,20062,-83.5823745727539
1733348471.410784,20539,-81.6864242553711
1733348471.649791,20578,-82.2730712890625
1733348473.3476899,20855,-82.30007934570312
1733348476.181161,21319,-83.59380340576172
1733348482.160684,22330,-82.12601470947266
1733348488.450898,23361,-81.91230773925781
1733348490.497677,23701,-81.95783233642578
1733348493.2122612,24147,-81.53646087646484
1733348494.264896,24322,-81.8807373046875
1733348497.0875158,24727,-81.28709411621094
1733348500.437879,25253,-80.78303527832031
1733348523.914519,28996,-79.5382080078125
1733348529.297076,29829,-78.19898223876953
1733348533.687058,30612,-79.41368865966797
1733348534.177569,30706,-80.05559539794922
1733348538.273535,31443,-76.8721923828125
1733348541.0026371,31936,-79.00851440429688
1733348544.09843,32435,-80.30387878417969
1733348548.2704551,33181,-77.90387725830078
1733348551.487196,33749,-79.85517883300781
1733348551.683084,33785,-76.31214141845703
1733348551.974549,33839,-77.31028747558594
1733348552.174863,33876,-76.49728393554688
1733348555.9918442,34525,-77.21685791015625
1733348563.706659,35953,-75.04692840576172
1733348567.315003,36629,-77.05743408203125
1733348567.48341,36659,-76.29598999023438
1733348573.541823,37764,-76.6611328125
1733348574.144432,37876,-74.56058502197266
1733348578.8174899,38720,-75.76516723632812
1733348579.458817,38840,-78.7919921875
1733348584.189944,39702,-75.6238784790039
1733348593.267158,41271,-74.49785614013672
1733348599.8633192,42468,-74.40105438232422
1733348606.337657,43639,-73.96285247802734
1733348606.718307,43711,-76.32075500488281
1733348608.301944,43993,-72.85684204101562
1733348609.425014,44200,-76.7070083618164
1733348609.7011352,44251,-74.35333251953125
1733348613.607687,44964,-73.46662902832031
1733348615.79879,45372,-71.14678955078125
1733348621.0587032,46334,-73.50863647460938
1733348621.4979808,46413,-76.1011962890625
1733348628.7546391,47744,-74.40989685058594
1733348630.006282,47970,-71.83766174316406
1733348631.173652,48181,-74.0897216796875
1733348647.215737,51134,-72.15048217773438
1733348647.7187572,51227,-68.96561431884766
1733348650.928162,51798,-73.45670318603516
1733348657.054135,52906,-74.77854919433594
1733348658.048651,53092,-73.49047088623047
1733348662.329776,53862,-73.82267761230469
1733348677.432797,56521,-73.66688537597656
1733348679.0007622,56820,-71.83074951171875
1733348690.285022,58746,-71.56832885742188
1733348698.139479,60179,-72.70865631103516
1733348698.17265,60185,-72.58015441894531
1733348699.7659168,60475,-75.03431701660156
1733348709.281194,62139,-72.16751861572266
1733348718.0675688,63671,-73.92253875732422
1733348722.774344,64521,-72.66116333007812
1733348728.899557,65643,-72.69335174560547
1733348735.113557,66787,-73.85614013671875
1733348736.418232,67021,-73.95344543457031
1733348738.7204192,67440,-76.34581756591797
1733348748.430453,69185,-72.92442321777344
1733348751.286728,69719,-73.33607482910156
1733348755.884178,70580,-73.05340576171875
1733348756.303353,70656,-73.89932250976562
1733348760.596158,71428,-72.31725311279297
1733348763.181804,71906,-71.15898895263672
1733348763.451742,71957,-72.91943359375
1733348763.742049,72012,-72.86014556884766
1733348767.497617,72723,-73.6916275024414
1733348769.023029,73009,-73.69564819335938
