Wall time,Step,Value
1733348365.5084832,1,0.0
1733348391.398997,3,0.0
1733348418.374013,5,0.0
1733348430.227912,6,0.0
1733348455.426789,8,0.0
1733348480.190537,10,0.0
1733348492.344656,11,0.0
1733348505.1118212,12,0.0
1733348517.8166442,13,0.0
1733348530.454012,14,0.0
1733348541.354104,15,0.0
1733348552.846199,16,0.0
1733348562.784595,17,1.0
1733348573.6260638,18,0.0
1733348584.670441,19,0.0
1733348596.153346,20,0.0
1733348618.012218,22,0.0
1733348633.396518,24,1.0
1733348644.1690722,25,0.0
1733348658.411743,27,0.0
1733348692.553329,30,0.0
1733348694.182317,31,1.0
1733348705.266956,32,0.0
1733348716.812811,33,0.0
1733348727.840069,34,0.0
1733348749.8160582,36,0.0
1733348766.423311,39,1.0
1733348777.0531409,40,0.0
1733348799.4739158,42,0.0
1733348801.5076659,43,1.0
1733348803.2634082,44,1.0
1733348808.8410811,45,1.0
1733348819.8100429,46,0.0
1733348830.815604,47,0.0
1733348852.055508,49,0.0
1733348863.183954,50,0.0
1733348896.339375,53,0.0
1733348907.755373,54,0.0
1733348918.981146,55,0.0
1733348929.9513988,56,0.0
1733348941.117291,57,0.0
1733348974.551338,60,0.0
1733348985.7641,61,0.0
1733348996.688299,62,0.0
1733349008.214452,63,0.0
1733349019.204725,64,0.0
1733349030.178058,65,0.0
1733349041.5566778,66,0.0
1733349052.937608,67,0.0
1733349054.478539,68,1.0
1733349065.286499,69,0.0
1733349083.726539,71,0.0
1733349084.674284,72,1.0
1733349085.707432,73,1.0
1733349096.487233,74,0.0
1733349117.8789551,76,0.0
1733349136.4417448,78,1.0
1733349137.5287628,79,1.0
1733349149.477481,81,1.0
1733349155.075758,82,1.0
1733349166.961866,84,1.0
1733349178.081269,85,0.0
1733349188.812233,86,0.0
1733349199.454117,87,0.0
1733349200.3658712,88,1.0
1733349201.238496,89,1.0
1733349213.056669,91,0.0
1733349213.871259,92,1.0
1733349225.2531111,93,0.0
1733349236.122182,94,0.0
1733349258.426015,96,0.0
1733349278.253783,99,1.0
1733349289.494032,100,0.0
1733349300.518301,101,0.0
1733349311.604179,102,0.0
1733349334.080448,104,0.0
1733349334.968504,105,1.0
1733349346.045921,106,0.0
1733349380.066635,109,0.0
1733349391.8518772,110,0.0
1733349425.532606,113,0.0
1733349458.3431199,116,0.0
1733349469.897343,117,0.0
1733349481.251737,118,0.0
1733349492.2603378,119,0.0
1733349503.705367,120,0.0
1733349539.2697809,123,0.0
1733349552.922876,124,0.0
1733349564.338331,125,0.0
1733349576.054581,126,0.0
1733349587.573536,127,0.0
1733349603.185514,129,1.0
1733349614.795628,130,0.0
1733349632.7389178,133,1.0
1733349670.676123,136,0.0
1733349683.0560791,137,0.0
1733349695.337662,139,0.0
1733349697.085767,141,1.0
1733349709.188489,142,0.0
1733349720.735774,143,0.0
1733349732.5388281,144,0.0
1733349744.276808,145,0.0
1733349755.8473222,146,0.0
1733349775.851039,148,1.0
1733349787.4971368,149,0.0
1733349799.0340931,150,0.0
1733349799.916536,151,1.0
1733349823.108094,153,0.0
1733349824.9942882,154,1.0
1733349836.9329479,155,0.0
1733349856.989045,157,0.0
1733349868.6495218,158,0.0
1733349880.3722591,159,0.0
1733349898.550366,161,0.0
1733349910.2087371,162,0.0
1733349932.782353,164,0.0
1733349941.516308,165,1.0
1733349947.9279401,167,1.0
1733349959.2148218,168,0.0
1733349960.586613,169,1.0
1733349973.6491039,171,1.0
1733349984.8704588,172,0.0
1733350012.791923,175,1.0
1733350024.71015,176,0.0
1733350036.397274,177,0.0
1733350037.94033,178,1.0
1733350062.1932402,180,0.0
1733350069.092782,181,1.0
1733350094.951565,183,0.0
1733350108.7686558,185,1.0
1733350110.2362912,186,1.0
1733350116.56963,187,1.0
1733350117.763785,188,1.0
1733350129.7259111,190,1.0
1733350132.205537,191,1.0
1733350157.713696,194,0.0
1733350183.40534,198,0.0
1733350185.792346,199,1.0
1733350210.373121,202,1.0
1733350219.349097,203,1.0
1733350238.661715,205,0.0
1733350243.785632,206,1.0
1733350245.2650912,207,1.0
1733350256.850552,208,0.0
1733350268.344747,209,0.0
1733350282.3452601,212,0.0
1733350287.955961,213,1.0
1733350296.594733,214,1.0
1733350299.050195,215,1.0
1733350305.937323,218,1.0
1733350317.825067,219,0.0
1733350319.2062411,220,1.0
1733350321.612567,221,1.0
1733350333.41972,222,0.0
1733350336.032158,223,1.0
1733350348.848871,225,1.0
1733350350.028146,226,1.0
1733350361.491104,227,0.0
1733350375.620723,229,1.0
1733350387.0957499,230,0.0
1733350388.59117,231,1.0
1733350389.794709,232,1.0
1733350399.5497441,233,1.0
1733350401.130029,234,1.0
1733350402.2188559,235,1.0
1733350408.748784,237,1.0
1733350409.779569,238,1.0
1733350416.9687319,240,1.0
1733350447.1580448,244,1.0
1733350449.580246,245,1.0
1733350453.360482,247,1.0
1733350454.8301902,248,1.0
1733350458.927076,249,1.0
1733350465.264831,250,1.0
1733350476.809909,251,1.0
1733350478.370191,252,1.0
1733350490.5077918,253,0.0
1733350494.160138,255,1.0
1733350513.651584,258,1.0
1733350522.080344,259,1.0
1733350523.015863,260,1.0
1733350523.914491,261,1.0
1733350543.429656,263,1.0
1733350551.042572,265,1.0
1733350565.0309088,267,0.0
1733350566.654926,269,1.0
1733350579.380146,271,1.0
1733350589.3597891,272,1.0
1733350597.831954,273,1.0
1733350598.676806,274,1.0
1733350599.5746298,275,1.0
1733350608.428808,277,1.0
1733350609.3733492,278,1.0
1733350632.6154618,280,0.0
1733350633.6608078,281,1.0
1733350645.6276731,282,0.0
1733350664.2815611,284,1.0
1733350668.7080598,289,1.0
1733350674.327533,291,1.0
1733350677.2205708,292,1.0
1733350679.0853581,294,1.0
1733350685.6563919,295,1.0
1733350694.7311559,296,1.0
1733350695.556969,297,1.0
1733350696.493524,298,1.0
1733350697.773247,299,1.0
1733350698.674858,300,1.0
1733350703.219947,301,1.0
1733350713.7330859,302,1.0
1733350714.717082,303,1.0
1733350725.290103,307,1.0
1733350726.194321,308,1.0
1733350728.50124,310,1.0
1733350733.923477,313,1.0
1733350739.47951,317,1.0
1733350740.951614,318,1.0
1733350741.825697,319,1.0
1733350747.662265,320,1.0
1733350749.4793768,322,1.0
1733350751.632627,323,1.0
1733350760.8022149,324,1.0
1733350761.622748,325,1.0
